"id","nombreOA","likes","dislikes","Capacidad","Desempenio","Tema","keyword"
77,"Inecuaciones de primer grado",0,0,"Usa estrategias y procedimientos para encontrar equivalencias y reglas generales. Argumenta afirmaciones sobre relaciones de cambio y equivalencia.","Establece relaciones entre datos y accionesde ganar y perder que incluyen operaciones de adición en N","Inecuaciones","Ecuaciones,Inecuaciones"
80,"Fracciones ",0,0,"Argumenta afirmaciones sobre relaciones de cambio y equivalencia","Establece relaciones entre datos y accionesde ganar y perder que incluyen operaciones de adición en N","Números racionales. Invenciones humanas para resolver probIemas. Identificación de las operaciones con números enteros.","Comparación de Fracciones,Operaciones con fracciones,Todo/parte,Fraciones propias e impropias"
85,"Patrones ",0,0,"Usa estrategias y procedimientos para encontrar equivalencias y reglas generales","Establece relaciones entre datos y accionesde ganar y perder que incluyen operaciones de adición en N","Progresion aritmética","Triangulo,Piramide,Patrones graficos"
81,"Regla de tres simple",0,0,"Traduce datos y condiciones a expresiones algebraicas y gráficas. ","Establece relaciones entre datos y accionesde ganar y perder que incluyen operaciones de adición en N","Proporcionalidad","Regla de tres simple,Equivalencia,Magnitudes directa e inversamente proporcionales"
82,"proporcionalidad directa",0,0,"Traduce datos y condiciones a expresiones algebraicas y gráficas. ","Establece relaciones entre datos y accionesde ganar y perder que incluyen operaciones de adición en N","Proporcionalidad","Equivalencia,Proporciones: parte y todo"
84,"proporcionalidad directa",0,0,"Traduce datos y condiciones a expresiones algebraicas y gráficas","Establece relaciones entre datos y accionesde ganar y perder que incluyen operaciones de adición en N","Proporcionalidad","Función lineal,Variable,Relación entre magnitudes directa e inversamente proporcionales"
86,"Expresión algebraica, áreas, baldosas.",0,0,"Usa estrategias y procedimientos para medir y orientarse en el espacio.","Establece relaciones entre datos y accionesde ganar y perder que incluyen operaciones de adición en N","Expresiones algebraicas y áreas.","Expresión algebraica, áreas, baldosas."
88,"Balancin, ángulos, grados sexagesimales.",0,0,"Usa estrategias y procedimientos para medir y orientarse en el espacio.","Establece relaciones entre datos y accionesde ganar y perder que incluyen operaciones de adición en N","Medidas de ángulos","Balancin, ángulos, transportador, grados sexagesimales."
90,"Construcción de ángulos con regla y compás",0,0,"Usa estrategias y procedimientos para medir y orientarse en el espacio.","Establece relaciones entre datos y accionesde ganar y perder que incluyen operaciones de adición en N","Ángulos","Ángulo, arco, vértice, grados sexagesimales."
92,"Incentro,Bisectríz,Bisecar",0,0,"Usa estrategias y procedimientos para medir y orientarse en el espacio.","Establece relaciones entre datos y accionesde ganar y perder que incluyen operaciones de adición en N","Puntos notables del triángulo","Incentro,Bisectriz,Bisecar"
93,"Circuncentro,Mediana,Perpendicularidad,Punto medio.",0,0,"Usa estrategias y procedimientos para medir y orientarse en el espacio.","Establece relaciones entre datos y accionesde ganar y perder que incluyen operaciones de adición en N","Puntos notables en el triángulo","Circuncentro,Mediana,Perpendicularidad,Punto medio."
94,"Baricentro,Mediatriz,Punto notable,Punto medio",0,0,"Usa estrategias y procedimientos para medir y orientarse en el espacio.","Establece relaciones entre datos y accionesde ganar y perder que incluyen operaciones de adición en N","Puntos notables del triángulo","Baricentro,Mediatriz,Punto notable,Punto medio"
99,"Area total y lateral de un cilindro",0,0,"Usa estrategias y procedimientos para medir y orientarse en el espacio.","Establece relaciones entre datos y accionesde ganar y perder que incluyen operaciones de adición en N","Area de un cilindro","Cilindro, área, radio, altura, generatríz, volúmen."
125,"Herramientas tecnológicas paa calcular áreas,Figuras planos,Planos",0,0,"Usa estrategias y procedimientos para medir y orientarse en el espacio.","Establece relaciones entre datos y accionesde ganar y perder que incluyen operaciones de adición en N","La geometría del triángulo, figuras, formas y representaciones de objetos. Utilización de herramientas tencológicas en la caracterización de figuras semejantes.","Herramientas tecnológicas paa calcular áreas,Figuras planos,Planos"
126,"Herramientas tecnológicas,Volumenes de sólidos geométricos",0,0,"Usa estrategias y procedimientos para medir y orientarse en el espacio.","Establece relaciones entre datos y accionesde ganar y perder que incluyen operaciones de adición en N","La geometría del triángulo, figuras, formas y representaciones de objetos. Utilización de herramientas tencológicas en la caracterización de figuras semejantes.","Herramientas tecnológicas,Volumenes de sólidos geométricos"
129,"Prisma,Piramide,Rectangular",0,0,"Usa estrategias y procedimientos para medir y orientarse en el espacio.","Establece relaciones entre datos y accionesde ganar y perder que incluyen operaciones de adición en N","Conozcamos otros sistemas de medidas, el Sistema internacional y el Sistema ingles. Interpretación de la medida del área de una figura inmersa en un contexto","Hectárea,Metros Cuadrados"
132,"Thales,Semejanza de Triángulos.",1,0,"Usa estrategias y procedimientos para medir y orientarse en el espacio.","Establece relaciones entre datos y accionesde ganar y perder que incluyen operaciones de adición en N","La geometría del triángulo: figuras formas y representación de objetos. Interpretación del primer teorema de Thales","Thales,Semejanza,Triangulo"
89,"Ángulos, rectas paralelas, secante, congruencia, alternos internos,correspondientes",0,1,"Argumenta afirmaciones sobre relaciones geométricas.","Establece relaciones entre datos y accionesde ganar y perder que incluyen operaciones de adición en N","Ángulos formados por dos rectas paralelas y una secante","Ángulos, rectas paralelas, secante, congruencia, alternos internos,correspondientes"
91,"Suma de los ángulos internos en un triángulo.",0,0,"Argumenta afirmaciones sobre relaciones geométricas.","Establece relaciones entre datos y accionesde ganar y perder que incluyen operaciones de adición en N","Propiedades de los triángulos","Ángulos internos,Propiedades del triángulo"
95,"Diagonal,Triángulo rectángulo,Cateto,Hipotenusa.",0,0,"Argumenta afirmaciones sobre relaciones geométricas.","Establece relaciones entre datos y accionesde ganar y perder que incluyen operaciones de adición en N","Triángulo rectángulo","Diagonal,Triángulo rectángulo,Cateto,Hipotenusa."
120,"Números figurados,Figuras geométricas planas",0,0,"Argumenta afirmaciones sobre relaciones geométricas.","Establece relaciones entre datos y accionesde ganar y perder que incluyen operaciones de adición en N","La geometría del triángulo: figuras, formas y representaciones de objetos. Caracterización de los números figurados.","Números figurados,Figuras geométricas planas"
96,"Congruencia de triángulos",3,0,"Comunica su comprensión sobre las formas y relaciones geométricas.","Establece relaciones entre datos y accionesde ganar y perder que incluyen operaciones de adición en N","Triángulos","Congruencia,Objetos,Triángulos."
97,"Tipos de cilindros",0,0,"Comunica su comprensión sobre las formas y relaciones geométricas.","Establece relaciones entre datos y accionesde ganar y perder que incluyen operaciones de adición en N","Cilindro ","Cilindro,Oblícuo,Base circular,Base elíptica."
123,"Teorema de Thales,Semejanza de triángulos",0,0,"Comunica su comprensión sobre las formas y relaciones geométricas.","Establece relaciones entre datos y accionesde ganar y perder que incluyen operaciones de adición en N","La geometeía del triángulo; figuras, formas y representaciones de objetos. Representación del primer teorema de Thales.","Teorema de Thales,Semejanza de triángulos"
102,"Pendiente de una recta,Distancia entre dos puntos",0,0,"Modela objetos con formas geométricas y sus transformaciones ( 3°) - Argumenta afirmaciones sobre relaciones geométricas. (2°)","Establece relaciones entre datos y accionesde ganar y perder que incluyen operaciones de adición en N","Caracterización de la gráfica de un polinomio a partir de su expresión algebraica","Pendiente de una recta,Distancia entre dos puntos"
87,"Tales, triángulo recto, rectas paralelas, segmentos.",0,0,"Modela objetos con formas geométricas y sus transformaciones.","Establece relaciones entre datos y accionesde ganar y perder que incluyen operaciones de adición en N","Teorema de Thales","Tales, triángulo recto, rectas paralelas, segmentos."
100,"Cono,Radio,Altura,Base,Vértice.",0,0,"Modela objetos con formas geométricas y sus transformaciones.","Establece relaciones entre datos y accionesde ganar y perder que incluyen operaciones de adición en N","Cono","Cono,Radio,Altura,Base,Vértice."
112,"Capacidad o volumen,Sistema internacional de medidas,Sistema inglés,Conversiones y equivalencia.",0,0,"Modela objetos con formas geométricas y sus transformaciones.","Establece relaciones entre datos y accionesde ganar y perder que incluyen operaciones de adición en N","Volumen","Capacidad o volumen,Sistema internacional de medidas,Sistema inglés,Conversiones y equivalencia."
113,"Área,Perímetro,Polígono,Equivalencia: hectárea y m2.",0,0,"Modela objetos con formas geométricas y sus transformaciones.","Establece relaciones entre datos y accionesde ganar y perder que incluyen operaciones de adición en N","Conozcamos otros sistemas de medidas, el sistema internacional y el sistema inglés. Interpretación de la medida del área de una figura inmersa en un contexto.","Área,Perímetro,Polígono,Equivalencia: hectárea y m2."
114,"Formas",0,0,"Modela objetos con formas geométricas y sus transformaciones.","Establece relaciones entre datos y accionesde ganar y perder que incluyen operaciones de adición en N","Pirámide","Figuras geométricas,Prismas, conos, pitámides, esferas, cilindros,Base y altura"
115,"Figuras geométricas,Sólidos geométricos,Base de un prisma,Clases de polígonos.",0,0,"Modela objetos con formas geométricas y sus transformaciones.","Establece relaciones entre datos y accionesde ganar y perder que incluyen operaciones de adición en N","La geometría del triángulo: figuras, formas y representaciones de objetos. Identificación de figuras obtenidas con cortes rectos y transversales a objetos tridimensionales.","Figuras geométricas,Sólidos geométricos,Base de un prisma,Clases de polígonos."
118,"Semejanza de triángulos,Teorema de Thales",1,0,"Modela objetos con formas geométricas y sus transformaciones.","Establece relaciones entre datos y accionesde ganar y perder que incluyen operaciones de adición en N","La geometría del triángulo: figuras, formas y representaciones de objetos. Interpretación del primer teorema de Thales.","Semejanza de triángulos,Teorema de Thales"
119,"Semejanza de figuras geométricas planas,Relación de los lados de dos figuras geométricas planas",0,0,"Modela objetos con formas geométricas y sus transformaciones.","Establece relaciones entre datos y accionesde ganar y perder que incluyen operaciones de adición en N","La geometría del triángulo: figuras, formas y representaciones de objetos. Utilización de herramientas tecnológicas en la caracterización de figuras geométricas.","Semejanza de figuras geométricas planas,Relación de los lados de dos figuras geométricas planas"
122,"Ángulos agudos,Ángulos obtusos",0,0,"Modela objetos con formas geométricas y sus transformaciones.","Establece relaciones entre datos y accionesde ganar y perder que incluyen operaciones de adición en N","Caracterización de ángulos de su entorno","Transportador,Ángulos agudos,Ángulos obtusos"
127,"Clases de ángulos.",0,0,"Modela objetos con formas geométricas y sus transformaciones.","Establece relaciones entre datos y accionesde ganar y perder que incluyen operaciones de adición en N","Caracterización de ángulos de su entorno.","Clases de ángulos."
101,"Binomio cuadrado perfecto,Área de un cuadrado,Área de un rectángulo.",0,0,"Modela objetos con formas geométricas y sus transformaciones","Establece relaciones entre datos y accionesde ganar y perder que incluyen operaciones de adición en N","Construcción de expresiones algebraicas equivalentes al hallar áreas o volúmenes.","Binomio cuadrado perfecto,Área de un cuadrado,Área de un rectángulo."
103,"Volúmenes,Sólidos geometricos,Poliedros",0,0,"Modela objetos con formas geométricas y sus transformaciones","Establece relaciones entre datos y accionesde ganar y perder que incluyen operaciones de adición en N","Volumen","Volúmenes,Sólidos geometricos,Poliedros"
111,"Medida de ángulos internos en un triángulo",0,0,"Comunica su comprensión sobre las formas y relaciones geométricas","Establece relaciones entre datos y accionesde ganar y perder que incluyen operaciones de adición en N","Triángulos","ÁNGULOS DE UN TRIÁNGULO"
116,"Figuras geométricas,Sólidos geométricos,Base de un prisma,Clases de polígonos.",0,0,"Comunica su comprensión sobre las formas y relaciones geométricas","Establece relaciones entre datos y accionesde ganar y perder que incluyen operaciones de adición en N","La geometría del triángulo: figuras, formas y representaciones de objetos. Identificación de figuras obtenidas con cortes rectos y transversales a objetos tridimensionales.","Desarrollo de un sólido geométrico,Cilindro,Esfera."
117,"Ampliación y redución de figuras geométricas,Semejanza de figuras geométricas.",0,0,"Comunica su comprensión sobre las formas y relaciones geométricas","Establece relaciones entre datos y accionesde ganar y perder que incluyen operaciones de adición en N","La geometría del triángulo: figuras, formas y representaciones de objetos. Aplicación de la semejanza en la solución de problemas.","Ampliación y reduciión de figuras geométricas,Semejanza de figuras geométricas."
121,"Ampliación de figuras,Triángulo equilátero,Duplicar y triplicar",0,0,"Comunica su comprensión sobre las formas y relaciones geométricas","Establece relaciones entre datos y accionesde ganar y perder que incluyen operaciones de adición en N","Las situaciones variables en nuestro mundo, ecuaciones y la regla de tres. Descripción de cambios y variaciones en secuencias numéricas y geométricas.","Ampliación de figuras,Triángulo equilátero,Duplicar y triplicar"
130,"Prisma,Piramide,Rectangular",0,0,"Comunica su comprensión sobre las formas y relaciones geométricas","Establece relaciones entre datos y accionesde ganar y perder que incluyen operaciones de adición en N","Conozcamos otros sistemas de medidas, el Sistema internacional y el Sistema ingles. Descripción del área en cuerpos geométricos","Prisma,Pirámide,Rectangular"
104,"Cónicas,Sólidos geométricos",0,0,"Modela objetos con formas geométricas y sus transformaciones. Usa estrategias y procedimientos para medir y orientarse en el espacio. Argumenta afirmaciones sobre relaciones geométricas.","Establece relaciones entre datos y accionesde ganar y perder que incluyen operaciones de adición en N","Formas cónicas","Cónicas,Sólidos geométricos"
131,"Prisma,Cono,Vistas",0,0,"Comunica su comprensión sobre las formas y relaciones geométricas ","Establece relaciones entre datos y accionesde ganar y perder que incluyen operaciones de adición en N","La geometría del triángulo: figuras formas y representación de objetos. Identificación de figuras obtenidas con cortes rectos y transversales a los objetos tridimensionales","Prisma,Cono,Vistas"
124,"Perímetro,Distancia,Herramientas virtuales para hallar distancia y perímetro",0,0,"Usa estrategias y procedimientos para medir y orientarse en el espacio","Establece relaciones entre datos y accionesde ganar y perder que incluyen operaciones de adición en N","La geometría del triángulo, figuras, formas y representaciones de objetos. Utilización de herramientas tencológicas en la caracterización de figuras semejantes.","Perímetro,Distancia,Herramientas virtuales para hallar distancia y perímetro"
133,"Teorema,Pitagoras,Demostración",1,0," Modela objetos con formas geométricas y sus transformaciones ","Establece relaciones entre datos y accionesde ganar y perder que incluyen operaciones de adición en N","Interpretación de situaciones por medio del teorema de Pitágoras","Teorema,Pitagoras,Demostracion"
128,"Volumen,Prisma",0,0,"Usa estrategias y procedimientos de estimación y cálculo. Usa estrategias y procedimientos para medir y orientarse en el espacio","Establece relaciones entre datos y accionesde ganar y perder que incluyen operaciones de adición en N","Números enteros y racionales: invenciones humanas para resolver problemas. reconocimiento de números relativos.","Volumen,Prisma"
98,"Cilindro",0,0,"Modelo objetos con formas geométricas y sus transformaciones.","Establece relaciones entre datos y accionesde ganar y perder que incluyen operaciones de adición en N","Sólidos generados por rotación","Eje de giro,Cilindro,Rectángulo,Círculo,Radio,Altura."
105,"Cono",0,0,"Usa estrategias y procedimientos para medir y orientarse en el espacio. Usa estrategias y procedimientos para medir y orientarse en el espacio. Argumenta afirmaciones sobre relaciones geométricas.","Establece relaciones entre datos y accionesde ganar y perder que incluyen operaciones de adición en N","Sólidos generados por rotación","Volumenes,Cuerpos de revolución."
106,"La esfera",0,0,"Usa estrategias y procedimientos para medir y orientarse en el espacio. ( 1°) - Usa estrategias y procedimientos para medir y orientarse en el espacio.( 2°) - Argumenta afirmaciones sobre relaciones geométricas.( 2°)","Establece relaciones entre datos y accionesde ganar y perder que incluyen operaciones de adición en N","Sólidos generados por rotación","Esfera,Cuerpos de revolución"
107,"La Pirámide,Volúmen",0,0,"Usa estrategias y procedimientos para medir y orientarse en el espacio. ( 1°) - Usa estrategias y procedimientos para medir y orientarse en el espacio.( 2°) - Argumenta afirmaciones sobre relaciones geométricas.( 2°)","Establece relaciones entre datos y accionesde ganar y perder que incluyen operaciones de adición en N","La Pirámide","La Pirámide,Volúmenes"
108,"Área lateral y total de una piramide",0,0,"Usa estrategias y procedimientos para medir y orientarse en el espacio. ( 1°) - Usa estrategias y procedimientos para medir y orientarse en el espacio.( 2°) - Argumenta afirmaciones sobre relaciones geométricas.( 2°)","Establece relaciones entre datos y accionesde ganar y perder que incluyen operaciones de adición en N","La Pirámide","La Pirámide,Volúmenes"
109,"Teorema de pitágoras",0,0,"Modela objetos con formas geométricas y sus transformaciones(2°) - Usa estrategias y procedimientos para medir y orientarse en el espacio.(2°) - Modela objetos con formas geométricas y sus transformaciones (1°)","Establece relaciones entre datos y accionesde ganar y perder que incluyen operaciones de adición en N","Triangulos rectángulos","Triángulos,Teorema de Pitagoras"
110,"Teorema de pitágoras",1,0,"Comunica su comprensión sobre las formas y relaciones geométricas (2°) - Argumenta afirmaciones sobre relaciones geométricas.(3°) - Usa estrategias y procedimientos para medir y orientarse en el espacio.(3°)","Establece relaciones entre datos y accionesde ganar y perder que incluyen operaciones de adición en N","Triangulos rectángulos","Teorema de Thales,Teorema de Pitagoras,Triángulos."
136,"Muestra",0,0,"Usa estrategias y procedimientos para recopilar y procesar datos.","Establece relaciones entre datos y accionesde ganar y perder que incluyen operaciones de adición en N","Recolección de datos aleatoriamente","Muestreo aleatorio, Encuesta,Analisis de información,Producto"
137,"Frecuencia absoluta,Frecuencia absoluta acumulada,Frecuencia relativa,Frecuencia relativa acumulada,Intervalos",8,0,"Usa estrategias y procedimientos para recopilar y procesar datos.","Establece relaciones entre datos y accionesde ganar y perder que incluyen operaciones de adición en N","Distribución de frecuencias","Frecuencia absoluta,Frecuencia absoluta acumulada,Frecuencia relativa,Frecuencia relativa acumulada,Intervalos"
141,"Fenomeno aleatorio",0,0,"Usa estrategias y procedimientos para recopilar y procesar datos.","Establece relaciones entre datos y accionesde ganar y perder que incluyen operaciones de adición en N","Probabilidad","Estimaciones,Situación aleatoria,Regla de Laplace."
146,"Población y muestra,Tabla de distribución de frecuencias de datos agrupados",6,0,"Usa estrategias y procedimientos para recopilar y procesar datos.","Establece relaciones entre datos y accionesde ganar y perder que incluyen operaciones de adición en N","Identificando los elementos de un análisis de datos. Identificación de una variable cuantitativa de datos agrupados.","Población y muestra,Tabla de distribución de frecuencias de datos agrupados"
147,"Caracterización de una variable cuantitativa de datos no agrupados.  Mediana, moda  y media de datos discretos.",0,0,"Usa estrategias y procedimientos para recopilar y procesar datos.","Establece relaciones entre datos y accionesde ganar y perder que incluyen operaciones de adición en N","Identificación de los elementos de un análisis de datos. Caracterización de una variable cuantitativa de datos no agrupados.","Media o promedio,Datos discretos."
145,"Cuadro de doble entrada,Tabla de contingencia,Adición y sustracción de números enteros.",0,0,"Comunica su comprensión de los conceptos estadísticos y probabilísticos.","Establece relaciones entre datos y accionesde ganar y perder que incluyen operaciones de adición en N","Identificando los elementos de un análisis de datos. Caracterización de dos variables cualitativas.","Cuadro de doble entrada,Tabla de coningencia,Adición y sustracción de números enteros."
149,"Promedio,Media Aritmetica,Estadistica",0,0,"Comunica su comprensión de los conceptos estadísticos y probabilísticos","Establece relaciones entre datos y accionesde ganar y perder que incluyen operaciones de adición en N","Identificando los elementos de un análisis de datos. Caracterización de una variable cuantitativa de datos no agrupados","Promedio,Media Aritmetica,Estadistica"
142,"Identificación de una variable cuantitativa de datos agrupados",0,0,"Representa datos con gráficos y medidas estadísticas o probabilísticas. Usa estrategias y procedimientos para recopilar y procesar datos. Sustenta conclusiones o decisiones con base en la información obtenida .","Establece relaciones entre datos y accionesde ganar y perder que incluyen operaciones de adición en N","Variables estadísticas","Estadistica,Datos agrupados,Tabla de frecuencias"
143,"Media, moda y mediana",0,0,"Representa datos con gráficos y medidas estadísticas o probabilísticas. Usa estrategias y procedimientos para recopilar y procesar datos. Sustenta conclusiones o decisiones con base en la información obtenida .","Establece relaciones entre datos y accionesde ganar y perder que incluyen operaciones de adición en N","Medidas de tendencia central para datos agrupados","Estadistica,Datos agrupados,Tabla de frecuencias"
134,"Experimento aleatorio",0,0,"Sustenta conclusiones o decisiones.","Establece relaciones entre datos y accionesde ganar y perder que incluyen operaciones de adición en N","Probabilidad","Probabilidad,Evento,Espacio Muestral."
135,"Experimento aleatorio",0,0,"Usa estrategias y procedimientos.","Establece relaciones entre datos y accionesde ganar y perder que incluyen operaciones de adición en N","Probabilidad","Experimento aleatorio,Probabilidad."
139,"Gráficos de variables cuantitativas",0,0,"Representa datos con graficos y medidas estadisticas y probabilidades.","Establece relaciones entre datos y accionesde ganar y perder que incluyen operaciones de adición en N","Representación tabular y gráfica de una variable cuantitativa.","Tabla de distribucion de frecuencias,Datos,Tabular,Variable cuantitativa."
140,"Gráficos de variables cuantitativas",0,0,"Representa datos con graficos y medidas estadisticas y probabilidades.","Establece relaciones entre datos y accionesde ganar y perder que incluyen operaciones de adición en N","Representación tabular y gráfica de una variable cuantitativa.","Tabla de distribucion de frecuencias,Datos,Tabular,Variable cuantitativa."
148,"Regla de Laplace,Probabilidad,Fracción",0,0,"Representa datos con gráficos y medidas estadísticas o probabilísticas","Establece relaciones entre datos y accionesde ganar y perder que incluyen operaciones de adición en N","Resolución de situaciones aleatorias mediante la regla de Laplace","Regla de Laplace,Probabilidad,Fracción"
138,"Variables cuantitativas.",0,0,"Comunica su comprensión y los conceptos estadísticos y probababilísticos.","Establece relaciones entre datos y accionesde ganar y perder que incluyen operaciones de adición en N","Variables estadísticas","Variable, datos agrupados, intervalo."
